competition_id,rule_version,year,market_name,team_id,source_id,source_path,source_sheet,source_row
historical_600_unknown_rule,unknown,1,本地,,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,第1年市场老大,2
historical_600_unknown_rule,unknown,1,区域,,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,第1年市场老大,3
historical_600_unknown_rule,unknown,1,国内,,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,第1年市场老大,4
historical_600_unknown_rule,unknown,1,亚洲,,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,第1年市场老大,5
historical_600_unknown_rule,unknown,1,国际,,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,第1年市场老大,6
historical_600_unknown_rule,unknown,2,本地,ZY10,src_914983ebc1ba,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/2.xls,第2年市场老大,2
historical_600_unknown_rule,unknown,2,区域,ZY03,src_914983ebc1ba,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/2.xls,第2年市场老大,3
historical_600_unknown_rule,unknown,2,国内,,src_914983ebc1ba,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/2.xls,第2年市场老大,4
historical_600_unknown_rule,unknown,2,亚洲,,src_914983ebc1ba,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/2.xls,第2年市场老大,5
historical_600_unknown_rule,unknown,2,国际,,src_914983ebc1ba,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/2.xls,第2年市场老大,6
historical_600_unknown_rule,unknown,3,本地,ZY08,src_cc9db7bea8ff,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/3.xls,第3年市场老大,2
historical_600_unknown_rule,unknown,3,区域,ZY04,src_cc9db7bea8ff,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/3.xls,第3年市场老大,3
historical_600_unknown_rule,unknown,3,国内,ZY05,src_cc9db7bea8ff,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/3.xls,第3年市场老大,4
historical_600_unknown_rule,unknown,3,亚洲,,src_cc9db7bea8ff,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/3.xls,第3年市场老大,5
historical_600_unknown_rule,unknown,3,国际,,src_cc9db7bea8ff,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/3.xls,第3年市场老大,6
historical_600_unknown_rule,unknown,4,本地,ZY10,src_db39b8a79217,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/4.xls,第4年市场老大,2
historical_600_unknown_rule,unknown,4,区域,ZY05,src_db39b8a79217,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/4.xls,第4年市场老大,3
historical_600_unknown_rule,unknown,4,国内,ZY15,src_db39b8a79217,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/4.xls,第4年市场老大,4
historical_600_unknown_rule,unknown,4,亚洲,ZY15,src_db39b8a79217,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/4.xls,第4年市场老大,5
historical_600_unknown_rule,unknown,4,国际,,src_db39b8a79217,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/4.xls,第4年市场老大,6
historical_600_unknown_rule,unknown,5,本地,ZY08,src_0ceadd6ef97c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/5.xls,第5年市场老大,2
historical_600_unknown_rule,unknown,5,区域,ZY03,src_0ceadd6ef97c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/5.xls,第5年市场老大,3
historical_600_unknown_rule,unknown,5,国内,ZY16,src_0ceadd6ef97c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/5.xls,第5年市场老大,4
historical_600_unknown_rule,unknown,5,亚洲,ZY13,src_0ceadd6ef97c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/5.xls,第5年市场老大,5
historical_600_unknown_rule,unknown,5,国际,ZY05,src_0ceadd6ef97c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/5.xls,第5年市场老大,6
historical_600_unknown_rule,unknown,6,本地,,src_8723000306a0,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/6.xls,第6年市场老大,2
historical_600_unknown_rule,unknown,6,区域,,src_8723000306a0,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/6.xls,第6年市场老大,3
historical_600_unknown_rule,unknown,6,国内,,src_8723000306a0,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/6.xls,第6年市场老大,4
historical_600_unknown_rule,unknown,6,亚洲,,src_8723000306a0,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/6.xls,第6年市场老大,5
historical_600_unknown_rule,unknown,6,国际,,src_8723000306a0,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/6.xls,第6年市场老大,6
