event_id,event_source,competition_id,rule_version,team_id,scenario_id,sequence,year,quarter,raw_action,canonical_action,category,control_type,is_agent_candidate,parameters_json,parameter_parse_status,cash_effect_wan,balance_wan,note,evidence_status,source_id,source_path,source_sheet,source_row,source_line
1fb2e296fccecdf6,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,1,1,1,Pay_Capital,capital_injection,finance,exception_intervention,False,{},not_applicable,600.0,600.0,"公司成立,股东注资",observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,4.0,
543540afc61da4bc,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,2,1,1,Rent_Workshop,factory_rent,capacity,direct_decision,True,"{""factory_type"": ""大厂房""}",complete,-40.0,560.0,租用[大厂房],observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,5.0,
52931859458ad59d,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,3,1,1,Buy_ProductLine,production_line_order,capacity,direct_decision,True,"{""line_type"": ""自动线"", ""product_id"": ""P2""}",complete,-50.0,510.0,订购[自动线]生产[P2],observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,6.0,
b0d1b48ddad1d469,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,4,1,1,Buy_ProductLine,production_line_order,capacity,direct_decision,True,"{""line_type"": ""自动线"", ""product_id"": ""P3""}",complete,-50.0,460.0,订购[自动线]生产[P3],observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,7.0,
3b17a508e69577cd,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,5,1,1,Develop_Product,product_development,qualification,direct_decision,True,"{""products"": [""P2"", ""P3""]}",complete,-20.0,440.0,产品生产资格投资: P2 P3,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,8.0,
f1f667c13843def3,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,6,1,1,Pay_Overhaul,administrative_fee,period_close,automatic_settlement,False,{},not_applicable,-10.0,430.0,支付行政管理费,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,9.0,
dc4034f8b3beadf3,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,7,1,2,Invest_ProductLine,production_line_investment,capacity,committed_settlement,False,{},partial,-100.0,330.0,投资在建生产线,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,10.0,
fad228d1717cb145,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,8,1,2,Buy_Material,material_order,procurement,direct_decision,True,"{""materials"": {""R3"": 2, ""R4"": 2}}",complete,0.0,330.0,订购原料 R3:2 R4:2,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,11.0,
e5bdcf0357f010b4,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,9,1,2,Develop_Product,product_development,qualification,direct_decision,True,"{""products"": [""P2"", ""P3""]}",complete,-20.0,310.0,产品生产资格投资: P2 P3,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,12.0,
68f2c0cb608f2eb3,historical_cash_flow,historical_600_unknown_rule,unknown,ZY02,,10,1,2,Pay_Overhaul,administrative_fee,period_close,automatic_settlement,False,{},not_applicable,-10.0,300.0,支付行政管理费,observed_history_unknown_rule,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,现金流量表,13.0,
