record_id,competition_id,team_id,factory_instance_id,factory_name,state,capacity_raw,purchase_price_wan,annual_rent_wan,sale_price_wan,last_rent_payment_raw,acquisition_time_raw,source_id,source_path,source_sheet,source_row
191dffc0080fb447,historical_600_unknown_rule,ZY02,52,大厂房,租用,1/4,300.0,40.0,300.0,第5年1季,第1年1季,src_bef4b86b4c71,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY02.xls,厂房与生产线,4
7b454a782e49eb0c,historical_600_unknown_rule,ZY03,58,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年2季,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,厂房与生产线,4
399f2c0de8cc329d,historical_600_unknown_rule,ZY03,76,大厂房,购买,0/4,300.0,40.0,300.0,-,第4年2季,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,厂房与生产线,5
9b520443528e447f,historical_600_unknown_rule,ZY03,86,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年1季,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,厂房与生产线,6
f1ed8f356ca96ef8,historical_600_unknown_rule,ZY03,89,大厂房,购买,4/4,300.0,40.0,300.0,-,第5年4季,src_e3cd51a93aa1,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY03.xls,厂房与生产线,7
8d6b92489744c85d,historical_600_unknown_rule,ZY04,49,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_158092ee4fdb,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY04.xls,厂房与生产线,4
97fcb30f514aae53,historical_600_unknown_rule,ZY04,83,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年3季,src_158092ee4fdb,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY04.xls,厂房与生产线,5
6e5974da04c22c93,historical_600_unknown_rule,ZY05,64,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,厂房与生产线,4
24ff5595d55648b4,historical_600_unknown_rule,ZY05,75,大厂房,购买,0/4,300.0,40.0,300.0,-,第4年1季,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,厂房与生产线,5
12020abe7c4efcc2,historical_600_unknown_rule,ZY05,78,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年2季,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,厂房与生产线,6
c680fad712ff10c9,historical_600_unknown_rule,ZY05,81,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年3季,src_33c96cbd4d19,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY05.xls,厂房与生产线,7
3a0adb003f2001f1,historical_600_unknown_rule,ZY06,60,大厂房,租用,0/4,300.0,40.0,300.0,第5年1季,第1年1季,src_aa724dd3736a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY06.xls,厂房与生产线,4
0c079b44c59a3e44,historical_600_unknown_rule,ZY06,100,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年4季,src_aa724dd3736a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY06.xls,厂房与生产线,5
c94f28b257b95711,historical_600_unknown_rule,ZY06,101,大厂房,购买,4/4,300.0,40.0,300.0,-,第5年4季,src_aa724dd3736a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY06.xls,厂房与生产线,6
add4570695876791,historical_600_unknown_rule,ZY06,102,大厂房,购买,4/4,300.0,40.0,300.0,-,第5年4季,src_aa724dd3736a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY06.xls,厂房与生产线,7
af3d27356f16e2f1,historical_600_unknown_rule,ZY07,51,大厂房,租用,0/4,300.0,40.0,300.0,第5年2季,第1年2季,src_610d5b6cd311,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY07.xls,厂房与生产线,4
6c772e9b2e1c3cb5,historical_600_unknown_rule,ZY08,47,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_db71d98a0a37,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY08.xls,厂房与生产线,4
bb930ee21160600a,historical_600_unknown_rule,ZY08,71,小厂房,购买,0/3,200.0,30.0,200.0,-,第4年3季,src_db71d98a0a37,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY08.xls,厂房与生产线,5
81ef81da6ba8531f,historical_600_unknown_rule,ZY09,46,小厂房,租用,0/3,200.0,30.0,200.0,第5年1季,第1年1季,src_57c289f9896a,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY09.xls,厂房与生产线,4
7f2ac55e6aa3c8f9,historical_600_unknown_rule,ZY10,54,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_0bc478da983d,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY10.xls,厂房与生产线,4
b47adac347141a1e,historical_600_unknown_rule,ZY10,74,小厂房,购买,0/3,200.0,30.0,200.0,-,第4年2季,src_0bc478da983d,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY10.xls,厂房与生产线,5
d2cacbdffa66566d,historical_600_unknown_rule,ZY10,85,小厂房,购买,0/3,200.0,30.0,200.0,-,第5年1季,src_0bc478da983d,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY10.xls,厂房与生产线,6
0dad1b76088dd32d,historical_600_unknown_rule,ZY10,88,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年2季,src_0bc478da983d,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY10.xls,厂房与生产线,7
8fb735c741687a75,historical_600_unknown_rule,ZY11,59,大厂房,租用,1/4,300.0,40.0,300.0,第5年2季,第1年2季,src_1179379453a7,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY11.xls,厂房与生产线,4
85f8bf03a9baadab,historical_600_unknown_rule,ZY13,62,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_766e2c00d61c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY13.xls,厂房与生产线,4
89a90edf9d2375b9,historical_600_unknown_rule,ZY13,63,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年1季,src_766e2c00d61c,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY13.xls,厂房与生产线,5
3b837a3a57b0afd9,historical_600_unknown_rule,ZY14,61,大厂房,租用,0/4,300.0,40.0,300.0,第5年2季,第1年2季,src_27029786bf11,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY14.xls,厂房与生产线,4
341f84085ca14892,historical_600_unknown_rule,ZY15,43,大厂房,租用,0/4,300.0,40.0,300.0,第5年3季,第1年3季,src_4d43a1bf1514,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY15.xls,厂房与生产线,4
8c273596b9f6b394,historical_600_unknown_rule,ZY15,87,大厂房,购买,4/4,300.0,40.0,300.0,-,第5年4季,src_4d43a1bf1514,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY15.xls,厂房与生产线,5
894e664b677b8b4a,historical_600_unknown_rule,ZY16,55,大厂房,购买,0/4,300.0,40.0,300.0,-,第1年2季,src_2f4d529bc792,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY16.xls,厂房与生产线,4
6644e0910d0339f5,historical_600_unknown_rule,ZY17,48,大厂房,租用,0/4,300.0,40.0,300.0,第5年1季,第1年1季,src_6d538319baf4,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY17.xls,厂房与生产线,4
907fd4bd1af3642b,historical_600_unknown_rule,ZY17,70,小厂房,租用,0/3,200.0,30.0,200.0,第5年1季,第3年1季,src_6d538319baf4,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY17.xls,厂房与生产线,5
86674fcbddfa34ac,historical_600_unknown_rule,ZY17,80,大厂房,购买,0/4,300.0,40.0,300.0,-,第5年1季,src_6d538319baf4,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY17.xls,厂房与生产线,6
