competition_id,team_id,year,product_id,market_name,amount_wan,source_id,source_path,source_sheet,source_cell,source_row
historical_600_unknown_rule,ZY01,2,P1,本地,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,C4,4
historical_600_unknown_rule,ZY01,2,P1,区域,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,D4,4
historical_600_unknown_rule,ZY01,2,P1,国内,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,E4,4
historical_600_unknown_rule,ZY01,2,P1,亚洲,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,F4,4
historical_600_unknown_rule,ZY01,2,P1,国际,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,G4,4
historical_600_unknown_rule,ZY01,2,P2,本地,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,C5,5
historical_600_unknown_rule,ZY01,2,P2,区域,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,D5,5
historical_600_unknown_rule,ZY01,2,P2,国内,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,E5,5
historical_600_unknown_rule,ZY01,2,P2,亚洲,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,F5,5
historical_600_unknown_rule,ZY01,2,P2,国际,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,G5,5
historical_600_unknown_rule,ZY01,2,P3,本地,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,C6,6
historical_600_unknown_rule,ZY01,2,P3,区域,0.0,src_e85a7b3ae609,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/ZY01.xls,广告投放,D6,6
