record_id,competition_id,rule_version,snapshot_year,team_id,line_type,factory,product_id,state,accumulated_depreciation_wan,production_start_year,production_start_quarter,conversion_time_raw,remaining_time_raw,completion_year,completion_quarter,construction_start_raw,source_id,source_path,source_sheet,source_row
7e9ef3f38a446c4f,historical_600_unknown_rule,unknown,1,ZY07,自动线,大厂房(51),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,3
8a9e3a73afc897b6,historical_600_unknown_rule,unknown,1,ZY07,自动线,大厂房(51),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,4
8c2b939f8bcb78a8,historical_600_unknown_rule,unknown,1,ZY07,自动线,大厂房(51),P3,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,5
aa2ac140e9406235,historical_600_unknown_rule,unknown,1,ZY07,自动线,大厂房(51),P3,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,6
5b5d178e2fa795be,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(64),P2,空闲,90.0,,,-,0季,2,1,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,7
cd47d26740e88d2a,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(64),P2,空闲,90.0,,,-,0季,2,1,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,8
4dc1da5bb66e9685,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(64),P3,空闲,90.0,,,-,0季,2,1,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,9
262b34248643445a,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(64),P3,空闲,90.0,,,-,0季,2,1,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,10
720f92dee4bb092e,historical_600_unknown_rule,unknown,1,ZY14,自动线,大厂房(61),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,11
7c8a90e2573f75da,historical_600_unknown_rule,unknown,1,ZY14,自动线,大厂房(61),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,12
c857ce95b50daeea,historical_600_unknown_rule,unknown,1,ZY14,自动线,大厂房(61),P3,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,13
6b8d556665c5cf29,historical_600_unknown_rule,unknown,1,ZY14,自动线,大厂房(61),P3,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,14
2a9585ca94df8b05,historical_600_unknown_rule,unknown,1,ZY04,自动线,大厂房(49),P2,空闲,90.0,,,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,15
50ec804c73eb87a6,historical_600_unknown_rule,unknown,1,ZY04,自动线,大厂房(49),P2,空闲,90.0,,,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,16
7a59742a360dea8f,historical_600_unknown_rule,unknown,1,ZY04,自动线,大厂房(49),P3,空闲,90.0,,,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,17
11e4d58ccd007568,historical_600_unknown_rule,unknown,1,ZY04,自动线,大厂房(49),P3,空闲,90.0,,,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,18
21464814ee90e62b,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(75),P1,空闲,0.0,,,-,0季,5,1,第4年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,19
c7556496b742e2f4,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(75),P1,空闲,0.0,,,-,0季,5,1,第4年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,20
3c93f58ee6a0cbb2,historical_600_unknown_rule,unknown,1,ZY11,自动线,大厂房(59),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,21
5dcfb885fcad28ec,historical_600_unknown_rule,unknown,1,ZY11,自动线,大厂房(59),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,22
4263793c8b6aeb4b,historical_600_unknown_rule,unknown,1,ZY11,自动线,大厂房(59),P2,在产,90.0,5.0,4.0,-,0季,2,1,第1年2季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,23
81ac932012cf2cf6,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(75),P4,空闲,0.0,,,-,0季,5,4,第5年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,24
b8f66ab0a0033207,historical_600_unknown_rule,unknown,1,ZY05,自动线,大厂房(75),P4,空闲,0.0,,,-,0季,5,4,第5年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,25
3b50cb9cfc7489f6,historical_600_unknown_rule,unknown,1,ZY09,柔性线,小厂房(46),P3,空闲,120.0,,,-,0季,2,1,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,26
b2ec548d41365d9f,historical_600_unknown_rule,unknown,1,ZY09,自动线,小厂房(46),P3,空闲,120.0,,,-,0季,1,4,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,27
91fb3b5bc3a55ec8,historical_600_unknown_rule,unknown,1,ZY09,自动线,小厂房(46),P3,空闲,120.0,,,-,0季,1,4,第1年1季,src_30b4ccc518f2,origin data/VPD-OE_Agent_20260709/VPD-OE_Agent/data/raw/ZY/1.xls,生产线信息,28
