order_id,competition_id,rule_version,year,market_code,market_id,market_name_candidate,product_code,product_id,quantity,total_amount_wan,unit_price_wan,receivable_term_quarters,delivery_term_quarters,iso_code,iso_name_candidate,mapping_status,source_id,source_path,source_sheet,source_row
BKDD_001,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,76.0,38.0,1,3,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,2
BKDD_002,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,72.0,36.0,3,2,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,3
BKDD_003,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,68.0,34.0,0,3,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,4
BKDD_004,order_catalog_unbound,,2,1,M1,本地,1,P1,6.0,223.0,37.166666666666664,2,3,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,5
BKDD_005,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,72.0,36.0,3,3,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,6
BKDD_006,order_catalog_unbound,,2,1,M1,本地,1,P1,1.0,29.0,29.0,1,4,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,7
BKDD_007,order_catalog_unbound,,2,1,M1,本地,1,P1,4.0,130.0,32.5,0,1,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,8
BKDD_008,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,67.0,33.5,2,2,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,9
BKDD_009,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,77.0,38.5,2,1,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,10
BKDD_010,order_catalog_unbound,,2,1,M1,本地,1,P1,4.0,157.0,39.25,0,2,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,11
BKDD_011,order_catalog_unbound,,2,1,M1,本地,1,P1,4.0,138.0,34.5,3,4,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,12
BKDD_012,order_catalog_unbound,,2,1,M1,本地,1,P1,4.0,133.0,33.25,3,4,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,13
BKDD_013,order_catalog_unbound,,2,1,M1,本地,1,P1,2.0,58.0,29.0,4,1,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,14
BKDD_014,order_catalog_unbound,,2,1,M1,本地,1,P1,3.0,118.0,39.333333333333336,2,3,0,,probable,src_e93001ca72b6,origin data/测试数据/原订单规则.xls,订单一览表,15
